"","lambda","mu","nu","q","seed","crown_age","cond","ess_likelihood","site_model","clock_model","tree_prior","best_or_gen","burn_in_fraction","sample_interval","tree"
"46",0.2,0.15,2,0.1,12,6,1,85,"GTR","strict","birth_death","best",0.1,1000,"true"
"47",0.2,0.15,2,0.1,12,6,1,1001,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"48",0.2,0.15,2,0.1,12,6,1,143,"GTR","strict","birth_death","best",0.1,1000,"twin"
"49",0.2,0,2.5,0.1,13,6,1,3,"JC69","strict","birth_death","gen",0.1,1000,"true"
"50",0.2,0,2.5,0.1,13,6,1,833,"JC69","strict","birth_death","best",0.1,1000,"true"
"51",0.2,0,2.5,0.1,13,6,1,870,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"52",0.2,0,2.5,0.1,13,6,1,1001,"JC69","strict","birth_death","best",0.1,1000,"twin"
"53",0.2,0,2.5,0.1,14,6,1,221,"JC69","strict","birth_death","gen",0.1,1000,"true"
"54",0.2,0,2.5,0.1,14,6,1,4,"JC69","strict","yule","best",0.1,1000,"true"
"55",0.2,0,2.5,0.1,14,6,1,3,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"56",0.2,0,2.5,0.1,14,6,1,2,"JC69","strict","birth_death","best",0.1,1000,"twin"
"57",0.2,0.15,2.5,0.1,15,6,1,1001,"JC69","strict","birth_death","gen",0.1,1000,"true"
"58",0.2,0.15,2.5,0.1,15,6,1,96,"JC69","strict","birth_death","best",0.1,1000,"true"
"59",0.2,0.15,2.5,0.1,15,6,1,996,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"60",0.2,0.15,2.5,0.1,15,6,1,179,"JC69","strict","birth_death","best",0.1,1000,"twin"
"61",0.2,0.15,2.5,0.1,16,6,1,1001,"JC69","strict","birth_death","gen",0.1,1000,"true"
"62",0.2,0.15,2.5,0.1,16,6,1,886,"JC69","strict","yule","best",0.1,1000,"true"
"63",0.2,0.15,2.5,0.1,16,6,1,1001,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"64",0.2,0.15,2.5,0.1,16,6,1,1001,"JC69","strict","yule","best",0.1,1000,"twin"
"65",0.2,0,1,0.15,17,6,1,1001,"JC69","strict","birth_death","gen",0.1,1000,"true"
"66",0.2,0,1,0.15,17,6,1,95,"GTR","strict","birth_death","best",0.1,1000,"true"
"67",0.2,0,1,0.15,17,6,1,946,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"68",0.2,0,1,0.15,17,6,1,168,"GTR","strict","birth_death","best",0.1,1000,"twin"
"69",0.2,0,1,0.15,18,6,1,146,"JC69","strict","birth_death","gen",0.1,1000,"true"
"70",0.2,0,1,0.15,18,6,1,134,"JC69","strict","birth_death","best",0.1,1000,"true"
"71",0.2,0,1,0.15,18,6,1,739,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"72",0.2,0,1,0.15,18,6,1,1001,"JC69","strict","yule","best",0.1,1000,"twin"
"73",0.2,0.15,1,0.15,19,6,1,540,"JC69","strict","birth_death","gen",0.1,1000,"true"
"74",0.2,0.15,1,0.15,19,6,1,1001,"JC69","strict","birth_death","best",0.1,1000,"true"
"75",0.2,0.15,1,0.15,19,6,1,937,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"76",0.2,0.15,1,0.15,19,6,1,879,"JC69","strict","birth_death","best",0.1,1000,"twin"
"77",0.2,0.15,1,0.15,20,6,1,1001,"JC69","strict","birth_death","gen",0.1,1000,"true"
"78",0.2,0.15,1,0.15,20,6,1,952,"JC69","strict","birth_death","best",0.1,1000,"true"
"79",0.2,0.15,1,0.15,20,6,1,871,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"80",0.2,0.15,1,0.15,20,6,1,198,"JC69","strict","birth_death","best",0.1,1000,"twin"
"81",0.2,0,1.5,0.15,21,6,1,477,"JC69","strict","birth_death","gen",0.1,1000,"true"
"82",0.2,0,1.5,0.15,21,6,1,861,"JC69","strict","birth_death","best",0.1,1000,"true"
"83",0.2,0,1.5,0.15,21,6,1,579,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"84",0.2,0,1.5,0.15,21,6,1,614,"JC69","strict","birth_death","best",0.1,1000,"twin"
"85",0.2,0,1.5,0.15,22,6,1,348,"JC69","strict","birth_death","gen",0.1,1000,"true"
"86",0.2,0,1.5,0.15,22,6,1,9,"JC69","strict","birth_death","best",0.1,1000,"true"
"87",0.2,0,1.5,0.15,22,6,1,21,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"88",0.2,0,1.5,0.15,22,6,1,35,"JC69","strict","birth_death","best",0.1,1000,"twin"
"89",0.2,0.15,1.5,0.15,23,6,1,1001,"JC69","strict","birth_death","gen",0.1,1000,"true"
"90",0.2,0.15,1.5,0.15,23,6,1,1001,"JC69","strict","birth_death","best",0.1,1000,"true"
"91",0.2,0.15,1.5,0.15,23,6,1,987,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"92",0.2,0.15,1.5,0.15,23,6,1,930,"JC69","strict","yule","best",0.1,1000,"twin"
"93",0.2,0.15,1.5,0.15,24,6,1,169,"JC69","strict","birth_death","gen",0.1,1000,"true"
"94",0.2,0.15,1.5,0.15,24,6,1,254,"GTR","strict","birth_death","best",0.1,1000,"true"
"95",0.2,0.15,1.5,0.15,24,6,1,99,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"96",0.2,0.15,1.5,0.15,24,6,1,204,"JC69","strict","birth_death","best",0.1,1000,"twin"
"97",0.2,0,2,0.15,25,6,1,751,"JC69","strict","birth_death","gen",0.1,1000,"true"
"98",0.2,0,2,0.15,25,6,1,1001,"JC69","strict","yule","best",0.1,1000,"true"
"99",0.2,0,2,0.15,25,6,1,1001,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"100",0.2,0,2,0.15,25,6,1,824,"JC69","strict","yule","best",0.1,1000,"twin"
"101",0.2,0,2,0.15,26,6,1,588,"JC69","strict","birth_death","gen",0.1,1000,"true"
"102",0.2,0,2,0.15,26,6,1,544,"JC69","strict","birth_death","best",0.1,1000,"true"
"103",0.2,0,2,0.15,26,6,1,18,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"104",0.2,0,2,0.15,26,6,1,18,"JC69","strict","birth_death","best",0.1,1000,"twin"
"105",0.2,0.15,2,0.15,27,6,1,586,"JC69","strict","birth_death","gen",0.1,1000,"true"
"106",0.2,0.15,2,0.15,27,6,1,718,"JC69","strict","birth_death","best",0.1,1000,"true"
"107",0.2,0.15,2,0.15,27,6,1,667,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"108",0.2,0.15,2,0.15,27,6,1,761,"JC69","strict","yule","best",0.1,1000,"twin"
"109",0.2,0.15,2,0.15,28,6,1,832,"JC69","strict","birth_death","gen",0.1,1000,"true"
"110",0.2,0.15,2,0.15,28,6,1,888,"JC69","strict","yule","best",0.1,1000,"true"
"111",0.2,0.15,2,0.15,28,6,1,811,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"112",0.2,0.15,2,0.15,28,6,1,790,"JC69","strict","yule","best",0.1,1000,"twin"
"113",0.2,0,2.5,0.15,29,6,1,523,"JC69","strict","birth_death","gen",0.1,1000,"true"
"114",0.2,0,2.5,0.15,29,6,1,266,"JC69","strict","birth_death","best",0.1,1000,"true"
"115",0.2,0,2.5,0.15,29,6,1,396,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"116",0.2,0,2.5,0.15,29,6,1,160,"JC69","strict","birth_death","best",0.1,1000,"twin"
"117",0.2,0,2.5,0.15,30,6,1,997,"JC69","strict","birth_death","gen",0.1,1000,"true"
"118",0.2,0,2.5,0.15,30,6,1,691,"JC69","strict","birth_death","best",0.1,1000,"true"
"119",0.2,0,2.5,0.15,30,6,1,816,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"120",0.2,0,2.5,0.15,30,6,1,966,"JC69","strict","yule","best",0.1,1000,"twin"
"121",0.2,0.15,2.5,0.15,31,6,1,812,"JC69","strict","birth_death","gen",0.1,1000,"true"
"122",0.2,0.15,2.5,0.15,31,6,1,754,"JC69","strict","yule","best",0.1,1000,"true"
"123",0.2,0.15,2.5,0.15,31,6,1,664,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"124",0.2,0.15,2.5,0.15,31,6,1,766,"JC69","strict","yule","best",0.1,1000,"twin"
"125",0.2,0.15,2.5,0.15,32,6,1,608,"JC69","strict","birth_death","gen",0.1,1000,"true"
"126",0.2,0.15,2.5,0.15,32,6,1,9,"JC69","strict","yule","best",0.1,1000,"true"
"127",0.2,0.15,2.5,0.15,32,6,1,851,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"128",0.2,0.15,2.5,0.15,32,6,1,3,"JC69","strict","birth_death","best",0.1,1000,"twin"
"129",0.2,0,1,0.2,33,6,1,772,"JC69","strict","birth_death","gen",0.1,1000,"true"
"130",0.2,0,1,0.2,33,6,1,227,"GTR","strict","birth_death","best",0.1,1000,"true"
"131",0.2,0,1,0.2,33,6,1,683,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"132",0.2,0,1,0.2,33,6,1,872,"JC69","strict","yule","best",0.1,1000,"twin"
"133",0.2,0,1,0.2,34,6,1,744,"JC69","strict","birth_death","gen",0.1,1000,"true"
"134",0.2,0,1,0.2,34,6,1,952,"JC69","strict","birth_death","best",0.1,1000,"true"
"135",0.2,0,1,0.2,34,6,1,816,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"136",0.2,0,1,0.2,34,6,1,853,"JC69","strict","birth_death","best",0.1,1000,"twin"
"137",0.2,0.15,1,0.2,35,6,1,734,"JC69","strict","birth_death","gen",0.1,1000,"true"
"138",0.2,0.15,1,0.2,35,6,1,820,"JC69","strict","yule","best",0.1,1000,"true"
"139",0.2,0.15,1,0.2,35,6,1,588,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"140",0.2,0.15,1,0.2,35,6,1,774,"JC69","strict","birth_death","best",0.1,1000,"twin"
"141",0.2,0.15,1,0.2,36,6,1,802,"JC69","strict","birth_death","gen",0.1,1000,"true"
"142",0.2,0.15,1,0.2,36,6,1,8,"JC69","strict","yule","best",0.1,1000,"true"
"143",0.2,0.15,1,0.2,36,6,1,4,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"144",0.2,0.15,1,0.2,36,6,1,18,"JC69","strict","birth_death","best",0.1,1000,"twin"
"145",0.2,0,1.5,0.2,37,6,1,4,"JC69","strict","birth_death","gen",0.1,1000,"true"
"146",0.2,0,1.5,0.2,37,6,1,40,"JC69","strict","yule","best",0.1,1000,"true"
"147",0.2,0,1.5,0.2,37,6,1,3,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"148",0.2,0,1.5,0.2,37,6,1,1001,"JC69","strict","birth_death","best",0.1,1000,"twin"
"149",0.2,0,1.5,0.2,38,6,1,745,"JC69","strict","birth_death","gen",0.1,1000,"true"
"150",0.2,0,1.5,0.2,38,6,1,750,"JC69","strict","birth_death","best",0.1,1000,"true"
"151",0.2,0,1.5,0.2,38,6,1,814,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"152",0.2,0,1.5,0.2,38,6,1,876,"JC69","strict","birth_death","best",0.1,1000,"twin"
"153",0.2,0.15,1.5,0.2,39,6,1,441,"JC69","strict","birth_death","gen",0.1,1000,"true"
"154",0.2,0.15,1.5,0.2,39,6,1,827,"JC69","strict","birth_death","best",0.1,1000,"true"
"155",0.2,0.15,1.5,0.2,39,6,1,825,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"156",0.2,0.15,1.5,0.2,39,6,1,700,"JC69","strict","birth_death","best",0.1,1000,"twin"
"157",0.2,0.15,1.5,0.2,40,6,1,762,"JC69","strict","birth_death","gen",0.1,1000,"true"
"158",0.2,0.15,1.5,0.2,40,6,1,21,"JC69","strict","yule","best",0.1,1000,"true"
"159",0.2,0.15,1.5,0.2,40,6,1,12,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"160",0.2,0.15,1.5,0.2,40,6,1,412,"JC69","strict","birth_death","best",0.1,1000,"twin"
