"","lambda","mu","nu","q","crown_age","cond","seed","site_model","clock_model","tree_prior","marg_log_lik","marg_log_lik_sd","weight","gen_model"
"76",0.2,0,2,0.1,6,1,10,"JC69","strict","birth_death",-11191.3069383404,6.96923465561081,0.999999646804796,"mbd"
"77",0.2,0,2,0.1,6,1,10,"JC69","strict","yule",-11207.2632793642,7.7788715423566,0.000000117557133731884,"mbd"
"78",0.2,0,2,0.1,6,1,10,"GTR","strict","birth_death",-11206.5679067966,6.7658536143847,0.000000235638070315964,"mbd"
"79",0.2,0,2,0.1,6,1,9,"JC69","strict","birth_death",-15170.3762917407,9.97409570711085,0.999999999999804,"bd"
"80",0.2,0,2,0.1,6,1,9,"JC69","strict","yule",-29112.551989567,0.413189460383536,0,"bd"
"81",0.2,0,2,0.1,6,1,9,"GTR","strict","birth_death",-15199.6363759346,11.4654303000083,1.9611323087955e-13,"bd"
"82",0.2,0,2,0.1,6,1,9,"JC69","strict","birth_death",-13662.7110074483,9.75060074299297,0.999999999998731,"mbd"
"83",0.2,0,2,0.1,6,1,9,"JC69","strict","yule",-29112.5652337507,0.432964445253696,0,"mbd"
"84",0.2,0,2,0.1,6,1,9,"GTR","strict","birth_death",-13690.1040497821,10.9577210342879,1.26868227388953e-12,"mbd"
"85",0.2,0,2,0.15,6,1,25,"JC69","strict","birth_death",-5271.98999040879,3.33793923761445,0.0743762145985346,"bd"
"86",0.2,0,2,0.15,6,1,25,"JC69","strict","yule",-5269.46865873043,3.55141889548079,0.925623785401466,"bd"
"87",0.2,0,2,0.15,6,1,25,"GTR","strict","birth_death",-5313.85507681028,7.38251530341736,4.89393348538272e-20,"bd"
"88",0.2,0,2,0.15,6,1,25,"JC69","strict","birth_death",-5416.9836541359,3.07693790274195,0.211056349182602,"mbd"
"89",0.2,0,2,0.15,6,1,25,"JC69","strict","yule",-5415.66508440127,3.18011680418064,0.788943643228741,"mbd"
"90",0.2,0,2,0.15,6,1,25,"GTR","strict","birth_death",-5434.12463517282,5.52243351993362,0.0000000075886573354664,"mbd"
"91",0.2,0,2,0.15,6,1,26,"JC69","strict","birth_death",-33127.1109825434,18.2602498076721,0.999999983244501,"bd"
"92",0.2,0,2,0.15,6,1,26,"JC69","strict","yule",-33145.0281867254,21.1027319195712,0.000000016544630997503,"bd"
"93",0.2,0,2,0.15,6,1,26,"GTR","strict","birth_death",-33149.3907719919,18.9949551662995,0.000000000210867853516426,"bd"
"94",0.2,0,2,0.15,6,1,26,"JC69","strict","birth_death",-36853.4867113923,17.7452597667208,0.999999999795011,"mbd"
"95",0.2,0,2,0.15,6,1,26,"JC69","strict","yule",-36875.7947747155,19.7268424585912,0.000000000204989302033119,"mbd"
"96",0.2,0,2,0.15,6,1,26,"GTR","strict","birth_death",-36924.0548887851,21.5057944274547,2.25231931022356e-31,"mbd"
"97",0.2,0,2,0.2,6,1,41,"JC69","strict","birth_death",-41515.0094245494,20.653387744727,0.999773937432146,"bd"
"98",0.2,0,2,0.2,6,1,41,"JC69","strict","yule",-41523.4038972094,21.2417750174229,0.000226062567850544,"bd"
"99",0.2,0,2,0.2,6,1,41,"GTR","strict","birth_death",-41548.4487692271,21.6443567993306,3.00178054956182e-15,"bd"
"100",0.2,0,2,0.2,6,1,41,"JC69","strict","birth_death",-46520.8622891971,20.6921893614263,2.12097945536405e-20,"mbd"
"101",0.2,0,2,0.2,6,1,41,"JC69","strict","yule",-46475.5624653264,23.2252825851286,1,"mbd"
"102",0.2,0,2,0.2,6,1,41,"GTR","strict","birth_death",-46520.220289575,25.1000369346706,4.03044830346063e-20,"mbd"
"103",0.2,0,2,0.2,6,1,42,"JC69","strict","birth_death",-88899.3332384201,32.9862780473012,4.92559782596353e-19,"bd"
"104",0.2,0,2,0.2,6,1,42,"JC69","strict","yule",-88857.1785673064,30.8720179459014,1,"bd"
"105",0.2,0,2,0.2,6,1,42,"GTR","strict","birth_death",-88968.0462600594,31.6573637674565,7.09206677499118e-49,"bd"
"106",0.2,0,2,0.2,6,1,42,"JC69","strict","birth_death",-111645.746965722,30.0591665258267,0.99998428685857,"mbd"
"107",0.2,0,2,0.2,6,1,42,"JC69","strict","yule",-111656.807963171,32.7874727780747,0.000015713141429819,"mbd"
"108",0.2,0,2,0.2,6,1,42,"GTR","strict","birth_death",-111709.840138017,32.2226745132825,1.46110733325656e-28,"mbd"
"109",0.2,0,2.5,0.1,6,1,13,"JC69","strict","birth_death",-11537.1783797752,7.70740564453947,0.994563096618065,"bd"
"110",0.2,0,2.5,0.1,6,1,13,"JC69","strict","yule",-11542.3874737,6.55401447216716,0.00543690310737411,"bd"
"111",0.2,0,2.5,0.1,6,1,13,"GTR","strict","birth_death",-11559.1887749778,7.88831306219925,0.000000000274561197058859,"bd"
"112",0.2,0,2.5,0.1,6,1,13,"JC69","strict","birth_death",-10781.6835767464,6.8838898357185,0.999999999722796,"mbd"
"113",0.2,0,2.5,0.1,6,1,13,"JC69","strict","yule",-10803.689843678,8.31072709137237,0.000000000277204134954151,"mbd"
"114",0.2,0,2.5,0.1,6,1,13,"GTR","strict","birth_death",-10817.7466363941,8.78751144734713,2.17777092014381e-16,"mbd"
"115",0.2,0,2.5,0.1,6,1,14,"JC69","strict","birth_death",-57456.4883890463,26.7254298080459,0.999989359590167,"bd"
"116",0.2,0,2.5,0.1,6,1,14,"JC69","strict","yule",-57467.9392299625,26.6217647639457,0.000010640409832621,"bd"
"117",0.2,0,2.5,0.1,6,1,14,"GTR","strict","birth_death",-57580.1065695722,27.5305041723945,2.05731936291822e-54,"bd"
"118",0.2,0,2.5,0.1,6,1,14,"JC69","strict","birth_death",-63108.1899578328,28.966712111725,1.74350565037806e-25,"mbd"
"119",0.2,0,2.5,0.1,6,1,14,"JC69","strict","yule",-63051.1812283359,26.7879564082085,1,"mbd"
"120",0.2,0,2.5,0.1,6,1,14,"GTR","strict","birth_death",-63092.3933625234,27.624496376302,1.26414687357047e-18,"mbd"
"121",0.2,0,2.5,0.15,6,1,29,"JC69","strict","birth_death",-19763.0926327023,10.0479001081214,0.999999963829957,"bd"
"122",0.2,0,2.5,0.15,6,1,29,"JC69","strict","yule",-38816.5735805306,0.345866606195372,0,"bd"
"123",0.2,0,2.5,0.15,6,1,29,"GTR","strict","birth_death",-19780.2276672799,11.9692836703948,0.0000000361700425812114,"bd"
"124",0.2,0,2.5,0.15,6,1,29,"JC69","strict","birth_death",-19412.4727623156,11.4731399309485,0.999999999986513,"mbd"
"125",0.2,0,2.5,0.15,6,1,29,"JC69","strict","yule",-38816.5460871257,0.424660264574434,0,"mbd"
"126",0.2,0,2.5,0.15,6,1,29,"GTR","strict","birth_death",-19437.5020766899,11.5298779539404,1.34867367777239e-11,"mbd"
"127",0.2,0,2.5,0.15,6,1,30,"JC69","strict","birth_death",-9171.98894867962,7.39702157405446,0.0467566051285345,"bd"
"128",0.2,0,2.5,0.15,6,1,30,"JC69","strict","yule",-9168.97403396437,6.34001278411869,0.953243373447147,"bd"
"129",0.2,0,2.5,0.15,6,1,30,"GTR","strict","birth_death",-9186.58488809811,7.79230326358021,0.0000000214243188441001,"bd"
"130",0.2,0,2.5,0.15,6,1,30,"JC69","strict","birth_death",-7625.09403363091,5.46030726956592,0.840829124247357,"mbd"
"131",0.2,0,2.5,0.15,6,1,30,"JC69","strict","yule",-7626.75844377339,6.0601004097622,0.159170875719776,"mbd"
"132",0.2,0,2.5,0.15,6,1,30,"GTR","strict","birth_death",-7649.05923549682,9.0458696264687,3.28664515809399e-11,"mbd"
"133",0.2,0,2.5,0.2,6,1,45,"JC69","strict","birth_death",-21688.1517873942,13.8655122911863,0.00508420882245398,"bd"
"134",0.2,0,2.5,0.2,6,1,45,"JC69","strict","yule",-21682.8752687195,13.7270195880914,0.994915791168658,"bd"
"135",0.2,0,2.5,0.2,6,1,45,"GTR","strict","birth_death",-21708.3165446662,15.1640214379664,8.88751952301207e-12,"bd"
"136",0.2,0,2.5,0.2,6,1,45,"JC69","strict","birth_death",-21193.6901923337,15.2113391370529,0.999991458951619,"mbd"
"137",0.2,0,2.5,0.2,6,1,45,"JC69","strict","yule",-21205.3608105891,16.0855031731185,0.00000854104838081871,"mbd"
"138",0.2,0,2.5,0.2,6,1,45,"GTR","strict","birth_death",-21243.9988335127,18.1483897193012,1.41654714972158e-22,"mbd"
"139",0.2,0,2.5,0.2,6,1,46,"JC69","strict","birth_death",-28923.2209206961,14.8755598496089,0.999999961910611,"bd"
"140",0.2,0,2.5,0.2,6,1,46,"JC69","strict","yule",-28940.3042507686,15.3166327094055,0.0000000380893885039743,"bd"
"141",0.2,0,2.5,0.2,6,1,46,"GTR","strict","birth_death",-28982.0799743114,19.7291970631042,2.74055036822284e-26,"bd"
"142",0.2,0,2.5,0.2,6,1,46,"JC69","strict","birth_death",-29560.3919713476,14.9634998976132,3.31360759979428e-14,"mbd"
"143",0.2,0,2.5,0.2,6,1,46,"JC69","strict","yule",-29529.3538175509,14.1064318102155,0.999999999999967,"mbd"
"144",0.2,0,2.5,0.2,6,1,46,"GTR","strict","birth_death",-29590.6953313347,15.5836379725466,2.28938615485896e-27,"mbd"
"145",0.2,0.15,1,0.1,6,1,3,"JC69","strict","birth_death",-19408.2661072874,0.370505180899559,0,"bd"
"146",0.2,0.15,1,0.1,6,1,3,"JC69","strict","yule",-11616.8163829102,8.15737908033107,0.999999999998768,"bd"
"147",0.2,0.15,1,0.1,6,1,3,"GTR","strict","birth_death",-11644.2388573212,9.86849367022951,1.23188646394375e-12,"bd"
"148",0.2,0.15,1,0.1,6,1,3,"JC69","strict","birth_death",-11168.8898553109,7.16435470920008,0.984692340020511,"mbd"
"149",0.2,0.15,1,0.1,6,1,3,"JC69","strict","yule",-11173.0538312027,8.04359602930245,0.0153076599794894,"mbd"
"150",0.2,0.15,1,0.1,6,1,3,"GTR","strict","birth_death",-19406.1615909044,0.41576203005826,0,"mbd"
