"","folder","ess_likelihood","tree","best_or_gen"
"169","data/0.2-0-1.5-0.15/103",707,"true","gen"
"170","data/0.2-0-1.5-0.15/103",766,"true","best"
"171","data/0.2-0-1.5-0.15/103",901,"twin","gen"
"172","data/0.2-0-1.5-0.15/103",710,"twin","best"
"173","data/0.2-0-1.5-0.15/104",901,"true","gen"
"174","data/0.2-0-1.5-0.15/104",7,"true","best"
"175","data/0.2-0-1.5-0.15/104",901,"twin","gen"
"176","data/0.2-0-1.5-0.15/104",870,"twin","best"
"177","data/0.2-0-1.5-0.15/105",708,"true","gen"
"178","data/0.2-0-1.5-0.15/105",4,"true","best"
"179","data/0.2-0-1.5-0.15/105",15,"twin","gen"
"180","data/0.2-0-1.5-0.15/105",23,"twin","best"
"181","data/0.2-0-1.5-0.15/106",17,"true","gen"
"182","data/0.2-0-1.5-0.15/106",316,"true","best"
"183","data/0.2-0-1.5-0.15/106",331,"twin","gen"
"184","data/0.2-0-1.5-0.15/106",9,"twin","best"
"185","data/0.2-0-1.5-0.15/107",794,"true","gen"
"186","data/0.2-0-1.5-0.15/107",132,"true","best"
"187","data/0.2-0-1.5-0.15/107",669,"twin","gen"
"188","data/0.2-0-1.5-0.15/107",788,"twin","best"
"189","data/0.2-0-1.5-0.15/108",867,"true","gen"
"190","data/0.2-0-1.5-0.15/108",901,"true","best"
"191","data/0.2-0-1.5-0.15/108",901,"twin","gen"
"192","data/0.2-0-1.5-0.15/108",314,"twin","best"
"193","data/0.2-0-1.5-0.15/109",5,"true","gen"
"194","data/0.2-0-1.5-0.15/109",644,"true","best"
"195","data/0.2-0-1.5-0.15/109",3,"twin","gen"
"196","data/0.2-0-1.5-0.15/109",121,"twin","best"
"197","data/0.2-0-1.5-0.15/110",27,"true","gen"
"198","data/0.2-0-1.5-0.15/110",6,"true","best"
"199","data/0.2-0-1.5-0.15/110",479,"twin","gen"
"200","data/0.2-0-1.5-0.15/110",3,"twin","best"
"201","data/0.2-0-1.5-0.2/181",10,"true","gen"
"202","data/0.2-0-1.5-0.2/181",169,"true","best"
"203","data/0.2-0-1.5-0.2/181",6,"twin","gen"
"204","data/0.2-0-1.5-0.2/181",270,"twin","best"
"205","data/0.2-0-1.5-0.2/182",444,"true","gen"
"206","data/0.2-0-1.5-0.2/182",4,"true","best"
"207","data/0.2-0-1.5-0.2/182",5,"twin","gen"
"208","data/0.2-0-1.5-0.2/182",20,"twin","best"
"209","data/0.2-0-1.5-0.2/183",118,"true","gen"
"210","data/0.2-0-1.5-0.2/183",3,"true","best"
"211","data/0.2-0-1.5-0.2/183",182,"twin","gen"
"212","data/0.2-0-1.5-0.2/183",4,"twin","best"
"213","data/0.2-0-1.5-0.2/184",895,"true","gen"
"214","data/0.2-0-1.5-0.2/184",790,"true","best"
"215","data/0.2-0-1.5-0.2/184",901,"twin","gen"
"216","data/0.2-0-1.5-0.2/184",901,"twin","best"
"217","data/0.2-0-1.5-0.2/185",41,"true","gen"
"218","data/0.2-0-1.5-0.2/185",22,"true","best"
"219","data/0.2-0-1.5-0.2/185",3,"twin","gen"
"220","data/0.2-0-1.5-0.2/185",217,"twin","best"
"221","data/0.2-0-1.5-0.2/186",803,"true","gen"
"222","data/0.2-0-1.5-0.2/186",697,"true","best"
"223","data/0.2-0-1.5-0.2/186",682,"twin","gen"
"224","data/0.2-0-1.5-0.2/186",825,"twin","best"
"225","data/0.2-0-1.5-0.2/187",16,"true","gen"
"226","data/0.2-0-1.5-0.2/187",693,"true","best"
"227","data/0.2-0-1.5-0.2/187",901,"twin","gen"
"228","data/0.2-0-1.5-0.2/187",753,"twin","best"
"229","data/0.2-0-1.5-0.2/188",724,"true","gen"
"230","data/0.2-0-1.5-0.2/188",286,"true","best"
"231","data/0.2-0-1.5-0.2/188",885,"twin","gen"
"232","data/0.2-0-1.5-0.2/188",825,"twin","best"
"233","data/0.2-0-1.5-0.2/189",446,"true","gen"
"234","data/0.2-0-1.5-0.2/189",321,"true","best"
"235","data/0.2-0-1.5-0.2/189",538,"twin","gen"
"236","data/0.2-0-1.5-0.2/189",13,"twin","best"
"237","data/0.2-0-1.5-0.2/190",11,"true","gen"
"238","data/0.2-0-1.5-0.2/190",5,"true","best"
"239","data/0.2-0-1.5-0.2/190",3,"twin","gen"
"240","data/0.2-0-1.5-0.2/190",3,"twin","best"
"241","data/0.2-0-2-0.1/41",786,"true","gen"
"242","data/0.2-0-2-0.1/41",547,"true","best"
"243","data/0.2-0-2-0.1/41",7,"twin","gen"
"244","data/0.2-0-2-0.1/41",446,"twin","best"
"245","data/0.2-0-2-0.1/42",347,"true","gen"
"246","data/0.2-0-2-0.1/42",515,"true","best"
"247","data/0.2-0-2-0.1/42",48,"twin","gen"
"248","data/0.2-0-2-0.1/42",4,"twin","best"
"249","data/0.2-0-2-0.1/43",842,"true","gen"
"250","data/0.2-0-2-0.1/43",4,"true","best"
"251","data/0.2-0-2-0.1/43",845,"twin","gen"
"252","data/0.2-0-2-0.1/43",3,"twin","best"
"253","data/0.2-0-2-0.1/44",856,"true","gen"
"254","data/0.2-0-2-0.1/44",290,"true","best"
"255","data/0.2-0-2-0.1/44",901,"twin","gen"
