"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight"
"144","data/0.2-0-2.5-0.2/46","GTR","strict","birth_death","true",-29590.6953313347,15.5836379725466,2.28938615485896e-27
"145","data/0.2-0.15-1-0.1/3","JC69","strict","birth_death","twin",-19408.2661072874,0.370505180899559,0
"146","data/0.2-0.15-1-0.1/3","JC69","strict","yule","twin",-11616.8163829102,8.15737908033107,0.999999999998768
"147","data/0.2-0.15-1-0.1/3","GTR","strict","birth_death","twin",-11644.2388573212,9.86849367022951,1.23188646394375e-12
"148","data/0.2-0.15-1-0.1/3","JC69","strict","birth_death","true",-11168.8898553109,7.16435470920008,0.984692340020511
"149","data/0.2-0.15-1-0.1/3","JC69","strict","yule","true",-11173.0538312027,8.04359602930245,0.0153076599794894
"150","data/0.2-0.15-1-0.1/3","GTR","strict","birth_death","true",-19406.1615909044,0.41576203005826,0
"151","data/0.2-0.15-1-0.1/4","JC69","strict","birth_death","twin",-12476.4894470172,0.502809257356167,0
"152","data/0.2-0.15-1-0.1/4","JC69","strict","yule","twin",-12476.9746637232,0.390149043225899,0
"153","data/0.2-0.15-1-0.1/4","GTR","strict","birth_death","twin",-6824.90295362314,6.97919548150709,1
"154","data/0.2-0.15-1-0.1/4","JC69","strict","birth_death","true",-12476.2236380282,0.722942841411607,0
"155","data/0.2-0.15-1-0.1/4","JC69","strict","yule","true",-5987.5675107588,6.70332194516768,0.994694843869251
"156","data/0.2-0.15-1-0.1/4","GTR","strict","birth_death","true",-5992.80126755685,6.51453887321167,0.00530515613074945
"157","data/0.2-0.15-1-0.15/19","JC69","strict","birth_death","twin",-9865.53386072005,6.60911129516022,0.999999999990041
"158","data/0.2-0.15-1-0.15/19","JC69","strict","yule","twin",-9890.86665718089,7.82498933088495,9.95649054996882e-12
"159","data/0.2-0.15-1-0.15/19","GTR","strict","birth_death","twin",-9899.06274029299,9.03504346061496,2.74531774391331e-15
"160","data/0.2-0.15-1-0.15/19","JC69","strict","birth_death","true",-8592.87599724111,6.30442680614922,0.99604490419062
"161","data/0.2-0.15-1-0.15/19","JC69","strict","yule","true",-8598.40478475642,6.93985746578133,0.00395509580933952
"162","data/0.2-0.15-1-0.15/19","GTR","strict","birth_death","true",-8623.7055931962,8.61856739937305,4.06588897427134e-14
"163","data/0.2-0.15-1-0.15/20","JC69","strict","birth_death","twin",-7397.47029356118,6.61163497242999,1
"164","data/0.2-0.15-1-0.15/20","JC69","strict","yule","twin",-11090.6883003513,0.584181320539424,0
"165","data/0.2-0.15-1-0.15/20","GTR","strict","birth_death","twin",-7444.93322008221,10.3339103263875,2.43844473368433e-21
"166","data/0.2-0.15-1-0.15/20","JC69","strict","birth_death","true",-7282.50953950791,5.79463675496823,0.999774466504231
"167","data/0.2-0.15-1-0.15/20","JC69","strict","yule","true",-7290.90635581917,6.3748912134193,0.000225533495738593
"168","data/0.2-0.15-1-0.15/20","GTR","strict","birth_death","true",-7313.61768968607,8.21944503867881,3.08890161968465e-14
"169","data/0.2-0.15-1-0.2/35","JC69","strict","birth_death","twin",-17102.8338487088,9.26123568253651,0.999965915796322
"170","data/0.2-0.15-1-0.2/35","JC69","strict","yule","twin",-17113.1204911403,9.73295496829296,3.4084203677968e-05
